msa_name,pop_2018
"Deming, NM Micro Area",23963
"DeRidder, LA Micro Area",37253
"Dickinson, ND Micro Area",30997
"Dixon, IL Micro Area",34223
"Dodge City, KS Micro Area",33888
"Douglas, GA Micro Area",43093
"Dublin, GA Micro Area",57033
"DuBois, PA Micro Area",79388
"Dumas, TX Micro Area",21485
"Duncan, OK Micro Area",43265
"Dunn, NC Micro Area",134214
"Durango, CO Micro Area",56310
"Durant, OK Micro Area",47192
"Dyersburg, TN Micro Area",37320
"Eagle Pass, TX Micro Area",58485
"Easton, MD Micro Area",36968
"Edwards, CO Micro Area",54993
"Effingham, IL Micro Area",34208
"El Campo, TX Micro Area",41619
"El Dorado, AR Micro Area",39126
"Elizabeth City, NC Micro Area",63771
"Elk City, OK Micro Area",21709
"Elkins, WV Micro Area",28823
"Elko, NV Micro Area",54463
"Ellensburg, WA Micro Area",47364
"Emporia, KS Micro Area",33406
"Enterprise, AL Micro Area",51909
"Escanaba, MI Micro Area",35857
"Española, NM Micro Area",39006
"Eufaula, AL-GA Micro Area",27160
"Eureka-Arcata-Fortuna, CA Micro Area",136373
"Evanston, WY Micro Area",20299
"Fairfield, IA Micro Area",18381
"Fairmont, MN Micro Area",19785
"Fairmont, WV Micro Area",56097
"Fallon, NV Micro Area",24440
"Faribault-Northfield, MN Micro Area",66523
"Farmington, MO Micro Area",66692
"Fergus Falls, MN Micro Area",58812
"Fernley, NV Micro Area",55808
"Findlay, OH Micro Area",75930
"Fitzgerald, GA Micro Area",16787
"Forest City, NC Micro Area",66826
"Forrest City, AR Micro Area",25439
"Fort Dodge, IA Micro Area",36277
"Fort Leonard Wood, MO Micro Area",52014
"Fort Madison-Keokuk, IA-IL-MO Micro Area",58741
"Fort Morgan, CO Micro Area",28558
"Fort Payne, AL Micro Area",71385
"Fort Polk South, LA Micro Area",48860
"Frankfort, IN Micro Area",32250
"Frankfort, KY Micro Area",73478
"Fredericksburg, TX Micro Area",26804
"Freeport, IL Micro Area",44753
"Fremont, NE Micro Area",36791
"Fremont, OH Micro Area",58799
"Gaffney, SC Micro Area",57078
"Gainesville, TX Micro Area",40574
"Galesburg, IL Micro Area",50112
"Gallup, NM Micro Area",72290
"Garden City, KS Micro Area",40554
"Gardnerville Ranchos, NV Micro Area",48467
"Georgetown, SC Micro Area",62249
"Gillette, WY Micro Area",46140
"Glasgow, KY Micro Area",54206
"Glenwood Springs, CO Micro Area",77720
"Gloversville, NY Micro Area",53591
"Grand Rapids, MN Micro Area",45108
"Grants, NM Micro Area",26746
"Great Bend, KS Micro Area",26111
"Greeneville, TN Micro Area",69087
"Greenfield Town, MA Micro Area",70963
"Greensburg, IN Micro Area",26794
"Greenville, MS Micro Area",45063
"Greenville, OH Micro Area",51323
"Greenwood, MS Micro Area",38830
"Greenwood, SC Micro Area",95282
"Grenada, MS Micro Area",21055
"Guymon, OK Micro Area",20455
"Hailey, ID Micro Area",29088
"Hannibal, MO Micro Area",38804
"Harrison, AR Micro Area",45285
"Hastings, NE Micro Area",31511
"Hays, KS Micro Area",28710
"Heber, UT Micro Area",33240
"Helena, MT Micro Area",80797
"Helena-West Helena, AR Micro Area",18029
"Henderson, NC Micro Area",44582
"Hereford, TX Micro Area",18760
"Hermiston-Pendleton, OR Micro Area",88888
"Hillsdale, MI Micro Area",45749
"Hilo, HI Micro Area",200983
"Hobbs, NM Micro Area",69611
"Holland, MI Micro Area",117327
"Hood River, OR Micro Area",23428
"Hope, AR Micro Area",30067
"Houghton, MI Micro Area",38332
"Hudson, NY Micro Area",59916
"Huntingdon, PA Micro Area",45168
"Huntington, IN Micro Area",36240
"Huntsville, TX Micro Area",87220
"Huron, SD Micro Area",18883
"Hutchinson, KS Micro Area",62342
"Hutchinson, MN Micro Area",35873
"Indiana, PA Micro Area",84501
"Indianola, MS Micro Area",25735
"Ionia, MI Micro Area",64210
"Iron Mountain, MI-WI Micro Area",29704
"Jackson, OH Micro Area",32384
"Jackson, WY-ID Micro Area",34721
"Jacksonville, IL Micro Area",38902
"Jacksonville, TX Micro Area",52592
"Jamestown, ND Micro Area",20917
"Jamestown-Dunkirk-Fredonia, NY Micro Area",127939
"Jasper, IN Micro Area",54975
"Jefferson, GA Micro Area",70422
"Jennings, LA Micro Area",31582
"Jesup, GA Micro Area",29808
"Junction City, KS Micro Area",32594
"Juneau, AK Micro Area",32113
"Kalispell, MT Micro Area",102106
"Kapaa, HI Micro Area",72133
"Kearney, NE Micro Area",56159
"Keene, NH Micro Area",76493
"Kendallville, IN Micro Area",47532
"Kennett, MO Micro Area",29423
"Kerrville, TX Micro Area",52405
"Ketchikan, AK Micro Area",13918
"Key West, FL Micro Area",75027
"Kill Devil Hills, NC Micro Area",40632
"Kingsville, TX Micro Area",31571
"Kinston, NC Micro Area",55976
"Kirksville, MO Micro Area",29938
"Klamath Falls, OR Micro Area",67653
"Laconia, NH Micro Area",61022
"La Grande, OR Micro Area",26461
"LaGrange, GA Micro Area",70034
"Lake City, FL Micro Area",70503
"Lamesa, TX Micro Area",12619
"Laramie, WY Micro Area",38601
