GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
0100000US,,United States,310M400US16740,16740,"United States - Charlotte-Concord-Gastonia, NC-SC Metro Area","Charlotte-Concord-Gastonia, NC-SC Metro Area",2217012,2216997,2223238,2254513,2292168,2332687,2374668,2422408,2474478,2524863,2569213
0100000US,,United States,310M400US16820,16820,"United States - Charlottesville, VA Metro Area","Charlottesville, VA Metro Area",218705,218701,218978,220810,222599,223913,226139,228622,230950,233586,235232
0100000US,,United States,310M400US16860,16860,"United States - Chattanooga, TN-GA Metro Area","Chattanooga, TN-GA Metro Area",528143,528150,529154,533601,538143,542202,544116,547295,551922,556081,560793
0100000US,,United States,310M400US16940,16940,"United States - Cheyenne, WY Metro Area","Cheyenne, WY Metro Area",91738,91885,92235,92561,94690,95706,96038,97006,97978,98460,98976
0100000US,,United States,310M400US16980,16980,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9461105,9461539,9470880,9500991,9529773,9553268,9564614,9557880,9540144,9520784,9498716
0100000US,,United States,314M400US1698016974,1698016974,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Chicago-Naperville-Arlington Heights, IL Metro Division","Chicago-Naperville-Arlington Heights, IL Metro Division",7262718,7263064,7270603,7300969,7328459,7348645,7355787,7348719,7330977,7311079,7288849
0100000US,,United States,314M400US1698020994,1698020994,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Elgin, IL Metro Division","Elgin, IL Metro Division",620429,620538,621291,623649,625245,627142,630598,633484,635447,637307,638359
0100000US,,United States,314M400US1698023844,1698023844,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Gary, IN Metro Division","Gary, IN Metro Division",708070,708117,708169,707902,706636,705708,705755,702715,701122,700810,701386
0100000US,,United States,314M400US1698029404,1698029404,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Lake County-Kenosha County, IL-WI Metro Division","Lake County-Kenosha County, IL-WI Metro Division",869888,869820,870817,868471,869433,871773,872474,872962,872598,871588,870122
0100000US,,United States,310M400US17020,17020,"United States - Chico, CA Metro Area","Chico, CA Metro Area",220000,220002,219945,219952,220873,221664,223570,224812,226529,229207,231256
0100000US,,United States,310M400US17140,17140,"United States - Cincinnati, OH-KY-IN Metro Area","Cincinnati, OH-KY-IN Metro Area",2114580,2114659,2117678,2122445,2128333,2137994,2148189,2157640,2168233,2179858,2190209
0100000US,,United States,310M400US17300,17300,"United States - Clarksville, TN-KY Metro Area","Clarksville, TN-KY Metro Area",260625,260630,261609,264193,274048,272169,276473,279843,280702,285691,292264
0100000US,,United States,310M400US17420,17420,"United States - Cleveland, TN Metro Area","Cleveland, TN Metro Area",115788,115754,115901,116594,117683,118420,119481,120485,121024,122082,123625
0100000US,,United States,310M400US17460,17460,"United States - Cleveland-Elyria, OH Metro Area","Cleveland-Elyria, OH Metro Area",2077240,2077278,2075481,2068801,2064716,2067127,2067459,2064284,2061527,2058549,2057009
0100000US,,United States,310M400US17660,17660,"United States - Coeur d'Alene, ID Metro Area","Coeur d'Alene, ID Metro Area",138494,138466,138852,140919,142078,143898,146536,149395,153103,157485,161505
0100000US,,United States,310M400US17780,17780,"United States - College Station-Bryan, TX Metro Area","College Station-Bryan, TX Metro Area",228660,228668,229453,231396,234146,237840,242888,250765,254825,258825,262431
0100000US,,United States,310M400US17820,17820,"United States - Colorado Springs, CO Metro Area","Colorado Springs, CO Metro Area",645613,645609,650373,660486,669321,678674,686696,697533,712723,725438,738939
0100000US,,United States,310M400US17860,17860,"United States - Columbia, MO Metro Area","Columbia, MO Metro Area",162642,162645,163194,166231,168789,170966,172795,174585,176667,178523,180005
0100000US,,United States,310M400US17900,17900,"United States - Columbia, SC Metro Area","Columbia, SC Metro Area",767598,767476,769647,776106,783227,790890,798956,809244,817337,825110,832666
0100000US,,United States,310M400US17980,17980,"United States - Columbus, GA-AL Metro Area","Columbus, GA-AL Metro Area",294865,295523,296495,302346,309943,315704,312847,310293,306591,303436,305451
0100000US,,United States,310M400US18020,18020,"United States - Columbus, IN Metro Area","Columbus, IN Metro Area",76794,76786,76820,77614,78999,79655,80499,81473,82313,82429,82753
0100000US,,United States,310M400US18140,18140,"United States - Columbus, OH Metro Area","Columbus, OH Metro Area",1901974,1902007,1906361,1926157,1947157,1974121,2001776,2027559,2051957,2082475,2106541
0100000US,,United States,310M400US18580,18580,"United States - Corpus Christi, TX Metro Area","Corpus Christi, TX Metro Area",428185,428183,427864,430920,436682,443026,447982,452557,454299,453684,452950
0100000US,,United States,310M400US18700,18700,"United States - Corvallis, OR Metro Area","Corvallis, OR Metro Area",85579,85582,85574,86260,86675,86168,87221,88270,89743,91567,92101
0100000US,,United States,310M400US18880,18880,"United States - Crestview-Fort Walton Beach-Destin, FL Metro Area","Crestview-Fort Walton Beach-Destin, FL Metro Area",235865,235868,235926,238678,246947,251883,255816,260887,265670,271959,278644
0100000US,,United States,310M400US19060,19060,"United States - Cumberland, MD-WV Metro Area","Cumberland, MD-WV Metro Area",103299,103245,103145,102590,101793,101229,100545,99846,99401,98566,97915
0100000US,,United States,310M400US19100,19100,"United States - Dallas-Fort Worth-Arlington, TX Metro Area","Dallas-Fort Worth-Arlington, TX Metro Area",6426214,6426222,6452028,6570598,6706434,6817518,6955259,7109280,7262951,7407944,7539711
0100000US,,United States,314M400US1910019124,1910019124,"United States - Dallas-Fort Worth-Arlington, TX Metro Area - Dallas-Plano-Irving, TX Metro Division","Dallas-Plano-Irving, TX Metro Division",4230520,4228916,4247078,4332539,4430097,4507575,4605614,4711525,4816318,4916807,5007190
0100000US,,United States,314M400US1910023104,1910023104,"United States - Dallas-Fort Worth-Arlington, TX Metro Area - Fort Worth-Arlington, TX Metro Division","Fort Worth-Arlington, TX Metro Division",2195694,2197306,2204950,2238059,2276337,2309943,2349645,2397755,2446633,2491137,2532521
0100000US,,United States,310M400US19140,19140,"United States - Dalton, GA Metro Area","Dalton, GA Metro Area",142227,142221,142274,142280,142280,141944,142369,143127,143683,143872,143983
0100000US,,United States,310M400US19180,19180,"United States - Danville, IL Metro Area","Danville, IL Metro Area",81625,81625,81639,81407,80864,80588,79786,79173,78494,77776,76806
0100000US,,United States,310M400US19300,19300,"United States - Daphne-Fairhope-Foley, AL Metro Area","Daphne-Fairhope-Foley, AL Metro Area",182265,182264,183111,186540,190143,194886,199189,202995,207712,212619,218022
0100000US,,United States,310M400US19340,19340,"United States - Davenport-Moline-Rock Island, IA-IL Metro Area","Davenport-Moline-Rock Island, IA-IL Metro Area",379690,379688,379753,380675,382455,383890,384137,383599,382563,381854,381451
0100000US,,United States,310M400US19380,19380,"United States - Dayton, OH Metro Area","Dayton, OH Metro Area",799232,799268,799664,800755,801539,801341,800998,800198,801765,803713,806548
0100000US,,United States,310M400US19460,19460,"United States - Decatur, AL Metro Area","Decatur, AL Metro Area",153829,153825,153948,154062,153899,153151,152906,152419,152203,151888,152046
0100000US,,United States,310M400US19500,19500,"United States - Decatur, IL Metro Area","Decatur, IL Metro Area",110768,110775,110784,110671,110130,109563,108520,107363,106430,105533,104712
0100000US,,United States,310M400US19660,19660,"United States - Deltona-Daytona Beach-Ormond Beach, FL Metro Area","Deltona-Daytona Beach-Ormond Beach, FL Metro Area",590289,590299,590522,591886,594984,600290,608708,621338,636098,648117,659605
0100000US,,United States,310M400US19740,19740,"United States - Denver-Aurora-Lakewood, CO Metro Area","Denver-Aurora-Lakewood, CO Metro Area",2543482,2543602,2554816,2602973,2650456,2700774,2754641,2813514,2857549,2892979,2932415
0100000US,,United States,310M400US19780,19780,"United States - Des Moines-West Des Moines, IA Metro Area","Des Moines-West Des Moines, IA Metro Area",569633,569632,572125,581642,590200,601147,612847,622992,634659,645100,655409
0100000US,,United States,310M400US19820,19820,"United States - Detroit-Warren-Dearborn, MI Metro Area","Detroit-Warren-Dearborn, MI Metro Area",4296250,4296290,4291593,4291406,4300902,4305860,4311699,4309845,4316198,4321704,4326442
0100000US,,United States,314M400US1982019804,1982019804,"United States - Detroit-Warren-Dearborn, MI Metro Area - Detroit-Dearborn-Livonia, MI Metro Division","Detroit-Dearborn-Livonia, MI Metro Division",1820584,1820539,1815155,1803100,1795973,1780371,1771931,1764726,1760095,1756264,1753893
0100000US,,United States,314M400US1982047664,1982047664,"United States - Detroit-Warren-Dearborn, MI Metro Area - Warren-Troy-Farmington Hills, MI Metro Division","Warren-Troy-Farmington Hills, MI Metro Division",2475666,2475751,2476438,2488306,2504929,2525489,2539768,2545119,2556103,2565440,2572549
0100000US,,United States,310M400US20020,20020,"United States - Dothan, AL Metro Area","Dothan, AL Metro Area",145639,145641,145870,146606,147448,147452,147835,148010,147820,147923,148245
0100000US,,United States,310M400US20100,20100,"United States - Dover, DE Metro Area","Dover, DE Metro Area",162310,162349,162955,165097,167288,169029,171458,173129,174528,176445,178550
0100000US,,United States,310M400US20220,20220,"United States - Dubuque, IA Metro Area","Dubuque, IA Metro Area",93653,93643,93927,94580,95155,95942,96483,96884,96782,97009,96854
0100000US,,United States,310M400US20260,20260,"United States - Duluth, MN-WI Metro Area","Duluth, MN-WI Metro Area",279771,279776,279690,279784,279364,279465,279655,279166,278830,278659,278799
0100000US,,United States,310M400US20500,20500,"United States - Durham-Chapel Hill, NC Metro Area","Durham-Chapel Hill, NC Metro Area",504357,506660,508593,514980,524210,532654,541319,549596,559639,566491,575412
0100000US,,United States,310M400US20700,20700,"United States - East Stroudsburg, PA Metro Area","East Stroudsburg, PA Metro Area",169842,169832,169843,169877,168629,167370,167313,166598,166421,168089,169507
0100000US,,United States,310M400US20740,20740,"United States - Eau Claire, WI Metro Area","Eau Claire, WI Metro Area",161151,161385,161654,162868,163877,164818,165022,165535,166467,167436,168669
0100000US,,United States,310M400US20940,20940,"United States - El Centro, CA Metro Area","El Centro, CA Metro Area",174528,174524,174730,175813,176678,176605,178233,179179,180268,181574,181827
0100000US,,United States,310M400US21060,21060,"United States - Elizabethtown-Fort Knox, KY Metro Area","Elizabethtown-Fort Knox, KY Metro Area",148338,148340,149847,151338,151567,152291,151745,148184,149050,150531,153378
0100000US,,United States,310M400US21140,21140,"United States - Elkhart-Goshen, IN Metro Area","Elkhart-Goshen, IN Metro Area",197559,197559,197444,198267,198980,200231,201476,203024,203652,204310,205560
0100000US,,United States,310M400US21300,21300,"United States - Elmira, NY Metro Area","Elmira, NY Metro Area",88830,88849,88898,88893,89136,88192,87179,86718,85676,84874,84254
