,Unnamed: 0_x,address,city,country_left,event_date,event_name,genre,is_presale,latitude_left,longitude_left,max_tickets,num_markets,onsale_date,postalCode,price_max,price_min,sold_out,state,subgenre,url,venue_name_left,Unnamed: 0_y,Venue,City,Capacity,popularity_sk,headliner,support,event_time,id_y,street,zip,metro_area,country_right,city_name
63035,35,1 Mohegan Sun Blvd,Uncasville,US,2019-09-03 01:30:00+00:00,Peter Frampton FINALE - The Farewell Tour,Rock,1,41.4915974,-72.09145629999998,8,4.0,2019-03-01 15:00:00+00:00,06382,59.0,39.0,0.0,CT,Pop,https://www.ticketmaster.com/peter-frampton-finale-the-farewell-tour-uncasville-connecticut-09-02-2019/event/1D005655B4B21C66,Mohegan Sun Arena,121.0,Mohegan Sun Arena,Uncasville,"12,000",0.131886,Foreigner,,2019-10-03 19:30:00-04:00,56485,1 Mohegan Sun Boulevard,06382,Providence,US,Uncasville
314867,189,6161 Delmar,St Louis,US,2019-11-09 02:00:00+00:00,Big Head Todd And The Monsters,Rock,1,38.655624,-90.297912,,1.0,2019-07-12 15:00:00+00:00,63112,30.0,30.0,0.0,MO,Pop,https://www.ticketmaster.com/big-head-todd-and-the-monsters-st-louis-missouri-11-08-2019/event/060056E59D242C49,The Pageant,365.0,The Pageant,St. Louis,"2,300[23]",0.008812,Ludo,,2019-11-02 19:30:00-05:00,1231,6161 Delmar,63112,St Louis,US,St Louis
357255,76,301 West South Temple,Salt Lake City,US,2019-11-22 02:00:00+00:00,The Chainsmokers/5 Seconds of Summer/Lennon Stella: World War Joy Tour,Dance/Electronic,1,40.767798,-111.901096,,2.0,2019-02-15 17:00:00+00:00,84101,126.5,46.5,0.0,UT,Witchstep,https://www.ticketmaster.com/the-chainsmokers5-seconds-of-summerlennon-stella-salt-lake-city-utah-11-21-2019/event/1E005647B9BD2E51,Vivint Smart Home Arena,614.0,Vivint Smart Home Arena,Salt Lake City,"15,000 ",0.000595,Utah Symphony,Thierry Fischer,2019-11-22 19:00:00-07:00,695,123 West South Temple,84101,Salt Lake City,US,Salt Lake City
188109,41,3570 S Las Vegas Blvd,Las Vegas,US,2020-05-28 03:00:00+00:00,Sting: My Songs,Rock,1,36.116156,-115.175058,,1.0,2019-05-03 17:00:00+00:00,89109,449.0,79.0,0.0,NV,Pop,https://www.ticketmaster.com/sting-my-songs-las-vegas-nevada-05-27-2020/event/3900569609FDCC0D,The Colosseum at Caesars Palace,385.0,The Colosseum at Caesars Palace,Las Vegas,"4,298",0.634638,Lady Gaga,,2020-05-03 20:00:00-07:00,3410514,3770 Las Vegas Blvd S,89109,Las Vegas,US,Las Vegas
228016,0,125 East 11th Street,New York,US,2019-10-06 23:00:00+00:00,Kiana Ledé,R&B,1,40.73170187,-73.98923951,,3.0,2019-06-28 14:00:00+00:00,10003,27.0,27.0,0.0,NY,R&B,https://www.ticketmaster.com/kiana-lede-new-york-new-york-10-06-2019/event/000056D9C7B05FDC,Webster Hall,429.0,Webster Hall,New York City,"1,500",0.045176999999999995,Cigarettes After Sex,,2019-10-23 20:00:00-04:00,924,125 E.11th Street,10003,New York,US,New York
186974,14,400 Pinnacle Arena Drive,Lincoln,US,2019-08-15 00:00:00+00:00,Why Don't We,Pop,1,40.81827927,-96.7089386,,1.0,2019-02-23 16:00:00+00:00,68508,96.0,36.5,0.0,NE,Pop,https://www.ticketmaster.com/why-dont-we-lincoln-nebraska-08-14-2019/event/0600565591EF27DA,Pinnacle Bank Arena,376.0,Pinnacle Bank Arena,Lincoln,"14,620 ",0.390898,Guns N' Roses,,2019-10-15 19:30:00-05:00,2224159,400 Pinnacle Arena Dr,68508,Lincoln,US,Lincoln
150624,4,125 S. Pennsylvania St.,Indianapolis,US,2019-09-11 00:00:00+00:00,Backstreet Boys: DNA World Tour,Rock,1,39.76406400000001,-86.155507,,2.0,2018-11-14 15:00:00+00:00,46204,314.5,29.0,0.0,IN,Pop,https://www.ticketmaster.com/backstreet-boys-dna-world-tour-indianapolis-indiana-09-10-2019/event/05005567AC524B7A,Bankers Life Fieldhouse,220.0,Bankers Life Fieldhouse,Indianapolis,"19,000",0.184954,Cardi B,Kevin Gates,2019-09-11 19:00:00-04:00,472,125 South Pennsylvania Street,46204,Indianapolis,US,Indianapolis
291303,177,910 Hennepin Avenue,Minneapolis,US,2019-11-10 01:30:00+00:00,Trisha Yearwood,Country,1,44.976396,-93.277509,,1.0,2019-06-21 15:00:00+00:00,55403,127.5,49.5,0.0,MN,Country,https://www.ticketmaster.com/trisha-yearwood-minneapolis-minnesota-11-09-2019/event/060056CBD1068540,Orpheum Theatre,384.0,Orpheum Theatre,Phoenix,1364,0.023978,Trisha Yearwood,,2019-11-09 19:30:00-06:00,7582,910 Hennepin Avenue,55403,Twin Cities,US,Minneapolis
290853,177,910 Hennepin Avenue,Minneapolis,US,2019-11-10 01:30:00+00:00,Trisha Yearwood,Country,1,44.976396,-93.277509,,1.0,2019-06-21 15:00:00+00:00,55403,127.5,49.5,0.0,MN,Country,https://www.ticketmaster.com/trisha-yearwood-minneapolis-minnesota-11-09-2019/event/060056CBD1068540,Orpheum Theatre,552.0,Orpheum Theatre,Memphis,"2,400[25]",0.023978,Trisha Yearwood,,2019-11-09 19:30:00-06:00,7582,910 Hennepin Avenue,55403,Twin Cities,US,Minneapolis
290604,177,910 Hennepin Avenue,Minneapolis,US,2019-11-10 01:30:00+00:00,Trisha Yearwood,Country,1,44.976396,-93.277509,,1.0,2019-06-21 15:00:00+00:00,55403,127.5,49.5,0.0,MN,Country,https://www.ticketmaster.com/trisha-yearwood-minneapolis-minnesota-11-09-2019/event/060056CBD1068540,Orpheum Theatre,336.0,Orpheum Theatre,Minneapolis,"2,579",0.023978,Trisha Yearwood,,2019-11-09 19:30:00-06:00,7582,910 Hennepin Avenue,55403,Twin Cities,US,Minneapolis
