,is_ga,popularity_sg,short_title,listing_count,average_price,median_price,lowest_price,venue_name,venue_popularity,venue_address,venue_city,venue_state,venue_zip,venue_id,headliner
10904,0.0,0.484,Justin Moore,2.0,156.0,156.0,156.0,Crystal Grand Music Theatre,0,430 W Munroe Ave,Wisconsin Dells,WI,53965,1831,Justin Moore
10905,0.0,0.556,Galantis,7.0,87.0,93.0,60.0,Eagles Ballroom,0,2401 West Wisconsin Avenue,Milwaukee,WI,53233,542,Galantis
10906,1.0,0.0,Strand Of Oaks,4.0,51.0,41.0,41.0,Colectivo Coffee,0,221 N Prospect Ave,Milwaukee,WI,53202,110195,Strand Of Oaks
10907,0.0,0.452,The Budos Band,8.0,115.0,86.0,48.0,Majestic Theatre,0,115 King Street,Madison,WI,53703,3515,The Budos Band
10908,0.0,0.645,Tim Reynolds with Willie Nelson and Neil Young and Farm Aid,163.0,432.0,234.0,156.0,Alpine Valley Music Theatre,0,2699 Highway D,Elkhorn,WI,53121,57,Willie Nelson
10909,0.0,0.0,Godsmack with Halestorm,104.0,175.0,136.0,80.0,Alliant Energy Center,0,1919 Alliant Energy Center Way,Madison,WI,53713,1403,Godsmack
10910,0.0,0.481,The Family Stone (21+),,,,,Potawatomi Casino-Northern Lights Theatre,0,1721 West Canal Street,Milwaukee,WI,53233,978,The Family Stone
10911,1.0,0.0,The Last Revel,,,,,Colectivo Coffee,0,221 N Prospect Ave,Milwaukee,WI,53202,110195,The Last Revel
10912,1.0,0.542,TWRP (21+),6.0,54.0,50.0,45.0,Shank Hall,0,1434 N. Farwell Ave.,Milwaukee,WI,53202,668,TWRP
10913,1.0,0.0,Warbringer with Enforcer (18+),6.0,82.0,51.0,48.0,Route 20 Outhouse,0,14001 Washington Ave,Sturtevant,WI,53177,35932,Warbringer
10914,0.0,0.52,Marianas Trench,6.0,86.0,70.0,66.0,Eagles Ballroom,0,2401 West Wisconsin Avenue,Milwaukee,WI,53233,542,Marianas Trench
10915,1.0,0.449,Drew Holcomb,17.0,85.0,69.0,40.0,Majestic Theatre,0,115 King Street,Madison,WI,53703,3515,Drew Holcomb
10916,0.0,0.0,Marvel Years,,,,,Miramar Theatre,0,2844 N Oakland Ave,Milwaukee,WI,53211,1547,Marvel Years
10917,0.0,0.0,Pop Evil,,,,,Cavalier Theater,0,114 5th Ave N,La Crosse,WI,54601,48571,Pop Evil
