,venue_name,id,capacity,street,zip,latitude,longitude,metro_area,country,city_name
12201,Riviera Theatre - Jam Productions,1284,2500.0,4746 North Racine Avenue,60640,41.96856,-87.6597,Chicago,US,Chicago
12202,"Starlite Theatre, Riviera Hotel & Casino",1468338,,2901 Las Vegas Blvd. South,89109,36.135258,-115.159705,Las Vegas,US,Las Vegas
12203,Riviera Theatre and Performing Arts Center,812961,1139.0,67 Webster St,14120,43.02375,-78.87714,Buffalo,US,North Tonawanda
12204,Riviera Theatre-ny,4263239,,,14120,43.03867,-78.8642,Buffalo,US,North Tonawanda
12205,Riviera Theatre,4307984,,4746 North Racine Avenue,,41.96859,-87.65975,Chicago,US,Chicago
12206,"Crazy Girls Theatre, Riviera Hotel & Casino",1567343,,2901 Las Vegas Blvd S,89109,36.135382,-115.159235,Las Vegas,US,Las Vegas
12207,Riviera Theatre,2866068,,225 King Street,,32.780656,-79.933656,Columbia,US,Charleston
12208,Riviera Theatre,774146,,,,,,Miami,US,Miami
12209,"Bar, Riviera Theatre",1457018,,50 N. Main St.,49093,41.945216,-85.634201,Three Rivers,US,Three Rivers
12210,The Rust Belt,4125519,,1201 7th St,61244,41.51822,-90.44807,Rock Island,US,East Moline
12211,Agora Ballroom,64018,,,,,,Atlanta,US,Atlanta
12212,West Hartford Agora Ballroom,46761,,,,41.7620842,-72.7420151,Springfield,US,West Hartford
12213,Agora Ballroom,1475013,,379 Whalley Ave.,,41.3181906,-72.9452972,Bridgeport,US,New Haven
12214,Agora Ballroom/Monopoly's,43966,,6532 E Northwest Hwy,75231,32.8548832,-96.7483599,Dallas - Fort Worth,US,Dallas
12215,Agora Ballroom,195343,,,,,,Chicago,US,Chicago
12216,Agora Ballroom,118442,,,,,,New York,US,New York
12217,Agora Ballroom,450756,,,,,,Wilmington,US,Lancaster
12218,Pops for Champagne,34764,,601 N. State St.,,41.8925936,-87.6280386,Chicago,US,Chicago
12219,Summer Pops Bowl,50464,,,,,,San Diego,US,San Diego
12221,Pop's,275676,,1403 Mississippi Ave,62201,38.60246,-90.17547,St Louis,US,St Louis
12224,Soda Pops,1264331,,103 N. Main St.,78006,29.7941344,-98.7317559,Boerne,US,Boerne
12226,Kingfield Pops,2146424,,"Kennedy Farm, Route 142",,44.9459208,-70.1797566,Kingfield,US,Kingfield
12227,Evening With the Boston Pops,781751,,,,,,Boston / Cambridge,US,Boston
12229,Cincinnati Symphony and Pops Orchestras,1890408,,1241 Elm Street,45202,39.1093508,-84.5190132,Cincinnati,US,Cincinnati
12230,Pops,129760,,,,,,Twin Cities,US,Minneapolis
12232,POPS Performing Arts & Cultural Center,3756164,,5819 Sacramento Avae,96025,41.21043,-122.27132,Dunsmuir,US,Dunsmuir
12233,Pops Highwood,563516,,,,,,Highwood,US,Highwood
12234,Summer Pops At The Pier,360121,,,,,,San Diego,US,San Diego
12237,Pops Orchestra,242893,,,,,,Wilmington,US,Reading
12240,Kingfield Pops Festival,3232274,,29 Maple Street,04947,44.9710759,-70.1573581,Kingfield,US,Kingfield
12241,POPS Acoustic Revue,651881,,,,,,Lincoln,US,Lincoln
12242,Pops Bar and Grill,3989249,,,,,,Richmond,US,Midlothian
12243,Pops on the River,651891,,,,,,Little Rock,US,Little Rock
12244,Pops Nite Club,1049101,,11403 Mississippi Ave,62201,38.6478425,-90.1711625,St Louis,US,St Louis
12245,King of Pops Charlotte,3990229,,2500 Dunavant Street,28203,35.20467,-80.86688,Charlotte,US,Charlotte
12247,Mom & Pops Burgers,3889644,,1603 Main Street,02633,41.6823195,-69.9929521,Chatham,US,Chatham
12248,Bemus Bay Pops,3297944,,29 Main Street,,42.1587988,-79.3914466,Jamestown,US,Bemus Point
12249,POPS OMD THEATER,4038769,,"953 East Sahara, Ste B-30",89109,36.14366,-115.14189,Las Vegas,US,Las Vegas
12250,Pops Water Club,4272834,,15 Railroad Pl,,40.59691,-73.65852,New York,US,Island Park
12252,Memphis Symphony Pops Series,911141,,,,,,Memphis,US,Memphis
12253,Water St. Pops: 200 Water st.,2485529,,200 Water St.,,40.7073094,-74.0045681,New York,US,New York
12254,Summer Pops Bowl Park,349606,,,,,,San Diego,US,San Diego
12255,Summer Pops Bowl Amphitheatre,74575,,,,,,San Diego,US,San Diego
12256,Pops By The Sea,239478,,,,,,Providence,US,Hyannis
12258,Summer Pops At Navy Pier,216278,,,,,,San Diego,US,San Diego
12260,Pop's,303296,,,,,,Roselle,US,Roselle
12261,Pop's,1633153,,,,,,Lexington,US,Lexington
12262,Pop's,3336679,,,,32.2987573,-90.1848103,Jackson,US,Jackson
12264,Oops,3653244,,,,41.6837659,-74.8719284,Yonkers,US,Bethel
12265,Bankers Life Fieldhouse,472,,125 South Pennsylvania Street,46204,39.76405,-86.15548,Indianapolis,US,Indianapolis
12266,"Tsongas Center, UMass Lowell",4708,,300 Martin Luther King Jr. Way,01852,42.64977,-71.31322,Manchester,US,Lowell
12267,3S Artspace,2899078,400,319 Vaughan Street,03801,43.0796,-70.76286,Manchester,US,Portsmouth
12268,"Kuss Auditorium, Clark State Community College Performing Arts Center",239263,1500,300 S. Fountain Ave.,45501,39.92176,-83.80933,Dayton,US,Springfield
12269,Palomar Starlight Theater,4012599,,,92059,33.36522,-117.07647,San Diego,US,Pala
12270,Palomar Starlight Theater,733071,,,,,,Denver,US,Loveland
12271,Apopka Amphitheater,3330074,,,32712,28.75465,-81.4938,Orlando,US,Orlando
12272,Providence Performing Arts Center,652,3090.0,220 Weybosset Street,02903,41.8214694,-71.4124953,Providence,US,Providence
12273,Providence Performing Arts,248716,,,02903,41.816736,-71.4091563,Providence,US,Providence
12274,Zeiterion Performing Arts Center,361621,,684 Purchase St.,02740,41.63338,-70.92568,Providence,US,New Bedford
12275,Stadium Theatre Performing Arts Centre,49755,,28 Monument Square,02895,42.0052868,-71.5124757,Providence,US,Woonsocket
12276,Providence Performing Arts Centre,109733,,,,,,Providence,US,Providence
12277,Barnstable Performing Arts Center,1926454,,744 West Main St.,02601,41.6546,-70.32146,Providence,US,Hyannis
12278,Rhode Island Center for Performing Arts,1048351,,848 Park Ave,02910,41.7789594,-71.4359702,Providence,US,Cranston
12279,Xfinity Center,29417,19900.0,885 S. Main St.,02048,41.9944318,-71.2106493,Providence,US,Mansfield
12280,Nazarian Center for the Performing Arts,1579603,,600 Mt. Pleasant Avenue,02908,41.844651,-71.457472,Providence,US,Providence
12281,Eagle Performing Arts and Events Center,804091,,,,,,Providence,US,Fall River
12282,"Concert Hall, Smith Center for the Performing Arts",3514644,,1 Cunningham Square,02918,41.8440376,-71.4332557,Providence,US,Providence
12283,Barnstable High School Performing Arts Center,3960534,,"744 W, Main Street",02601,41.6543993,-70.3214659,Providence,US,Hyannis
12284,Arvest Bank Theatre at The Midland,16906,,1228 Main Street,64105,39.09885,-94.58346,Kansas City,US,Kansas City
12285,"Lounge, City Winery Nashville",3010474,,609 Lafayette St.,37203,36.16266,-86.7816,Nashville,US,Nashville
12286,City Winery,2680228,300.0,609 Lafayette Street,37203,36.15375,-86.7768,Nashville,US,Nashville
