,id,popularity_sk,type,venue_id,headliner,support,event_time
23136,38978411,0.000964,Concert,4343069,Dakha Brakha,,2020-03-20 20:00:00-04:00
23137,39011986,0.009867,Concert,4343069,Béla Fleck and the Flecktones,,2020-03-25 20:00:00-04:00
23138,39042596,0.013546,Concert,2680228,Melanie,,2019-08-12 19:00:00-05:00
23139,38655324,0.002802,Concert,2680228,Mindi Abair,The Boneshakers,2019-08-13 20:00:00-05:00
23140,38927484,0.000383,Concert,2680228,Jeffrey Steele,,2019-08-16 20:00:00-05:00
23141,38927459,0.030665,Concert,2680228,Melanie Fiona,,2019-08-17 22:00:00-05:00
23142,38927469,0.030665,Concert,2680228,Melanie Fiona,,2019-08-17 19:00:00-05:00
23143,38365119,0.00246,Concert,2680228,Marcia Ball,,2019-08-21 20:00:00-05:00
23144,38699919,0.003462,Concert,2680228,John Sebastian,,2019-08-22 20:00:00-05:00
23145,39042623,0.003219,Concert,2680228,Glenn Jones,,2019-08-23 20:00:00-05:00
23146,38345434,0.006494,Concert,2680228,Over the Rhine,Leigh Nash,2019-08-24 20:00:00-05:00
23147,38699899,0.029969,Concert,2680228,Vertical Horizon,,2019-08-25 20:00:00-05:00
23148,38655329,0.014191,Concert,2680228,Valerie June,Mick Flannery,2019-08-27 20:00:00-05:00
