,links,metro_code,postal_code,timezone,has_upcoming_events,id,city,stats,extended_address,display_location,state,score,location,access_method,num_upcoming_events,address,capacity,slug,name,url,country,popularity,name_v2,tm_venue
516,[],517,28205,America/New_York,True,1263,Charlotte,{'event_count': 99},"Charlotte, NC 28205","Charlotte, NC",NC,0.58667725,"{'lat': 35.2051, 'lon': -80.794}",,99,2700 E Independence Blvd,2460,ovens-auditorium,Ovens Auditorium,https://seatgeek.com/venues/ovens-auditorium/tickets,US,0,Ovens Auditorium,Ovens Auditorium
517,[],560,27609,America/New_York,True,2135,Raleigh,{'event_count': 36},"Raleigh, NC 27609","Raleigh, NC",NC,0.52634484,"{'lat': 35.8164, 'lon': -78.6209}",,36,2820 Industrial Drive,2000,the-ritz-8,The Ritz,https://seatgeek.com/venues/the-ritz-8/tickets,US,0,The Ritz,The Ritz
518,[],517,28202,America/New_York,True,1122,Charlotte,{'event_count': 11},"Charlotte, NC 28202","Charlotte, NC",NC,0.8968222,"{'lat': 35.2258, 'lon': -80.8528}","{'employee_only': False, 'created_at': '2015-09-25T18:23:51Z', 'method': 'QRCODE_TM'}",11,800 South Mint St,73298,bank-of-america-stadium,Bank of America Stadium,https://seatgeek.com/venues/bank-of-america-stadium/tickets,US,0,Bank of America Stadium,Bank of America Stadium
519,[],517,28206,America/New_York,True,346514,Charlotte,{'event_count': 40},"Charlotte, NC 28206","Charlotte, NC",NC,0.44678992,"{'lat': 35.2403, 'lon': -80.8453}",,40,820 Hamilton St,750,the-underground-37,The Underground,https://seatgeek.com/venues/the-underground-37/tickets,US,0,The Underground,The Underground
520,[],560,27701,America/New_York,True,5090,Durham,{'event_count': 44},"Durham, NC 27701","Durham, NC",NC,0.48575675,"{'lat': 36.1465, 'lon': -79.4216}",,44,309 West Morgan Street,1307,carolina-theatre,Carolina Theatre,https://seatgeek.com/venues/carolina-theatre/tickets,US,0,Carolina Theatre,Carolina Theatre 
521,[],560,27601,America/New_York,True,1017,Raleigh,{'event_count': 189},"Raleigh, NC 27601","Raleigh, NC",NC,0.506905,"{'lat': 35.7712, 'lon': -78.6396}",,189,2 East South Street,2277,duke-energy-center-for-the-performing-arts-2,Duke Energy Center for the Performing Arts,https://seatgeek.com/venues/duke-energy-center-for-the-performing-arts-2/tickets,US,0,Duke Energy Center for the Performing Arts,Duke Energy Center for the Performing Arts
522,[],518,27401,America/New_York,True,74648,Greensboro,{'event_count': 10},"Greensboro, NC 27401","Greensboro, NC",NC,0.5295766,"{'lat': 36.0718, 'lon': -79.7899}",,10,117 South Elm Street,1000,cone-denim-entertainment-center,Cone Denim Entertainment Center,https://seatgeek.com/venues/cone-denim-entertainment-center/tickets,US,0,Cone Denim Entertainment Center,Cone Denim Entertainment Center
523,[],0,27609,America/New_York,True,487764,Raleigh,{'event_count': 1},"Raleigh, NC 27609","Raleigh, NC",NC,0.0,"{'lat': 35.8158, 'lon': -78.6229}",,1,600 Creekside Drive,0,enigma-night-club,ENIGMA Night Club,https://seatgeek.com/venues/enigma-night-club/tickets,US,0,ENIGMA Night Club,ENIGMA Night Club 
524,[],518,27401,America/New_York,True,465930,Greensboro,{'event_count': 79},"Greensboro, NC 27401","Greensboro, NC",NC,0.0,"{'lat': 36.0753, 'lon': -79.7896}",,79,300 North Elm Street,0,steven-tanger-center-for-the-performing-arts,Steven Tanger Center For The Performing Arts,https://seatgeek.com/venues/steven-tanger-center-for-the-performing-arts/tickets,US,0,Steven Tanger Center For The Performing Arts,Steven Tanger Center for the Performing Arts
525,[],724,58202,America/Chicago,True,3737,Grand Forks,{'event_count': 6},"Grand Forks, ND 58202","Grand Forks, ND",ND,0.5067309,"{'lat': 47.9223, 'lon': -97.0791}",,6,3475 University Avenue,2384,chester-fritz-auditorium,Chester Fritz Auditorium,https://seatgeek.com/venues/chester-fritz-auditorium/tickets,US,0,Chester Fritz Auditorium,Chester Fritz Auditorium
