,venue_name,id,capacity,street,zip,latitude,longitude,metro_area
238,Town Park,16021,9000.0,500 E. Colorado Ave.,81435,37.936111600000004,-107.80677659999998,Colorado Springs
239,Telluride Town Park Campground,1269606,,500 East Colorado Ave,81435,37.936111600000004,-107.80677659999998,Colorado Springs
240,Town Park Pavilion,2619438,,,,37.9374939,-107.81228519999999,Colorado Springs
241,Dr. Lonnie Smith Town Park Stage,1969684,,500 E. Colorado Ave.,81435,37.935839,-107.80748500000001,Colorado Springs
242,24th Street Park,1111566,,24th Street,23451,36.850629999999995,-75.98482,Norfolk
243,Lucky You Lounge,4098684,,1801 W Sunset Blvd,99201,47.65338,-117.43907,Spokane
244,Imperial Theatre,4340822,,249 W. 45th St.,10036,40.75897,-73.98734,New York
245,Mr. Smalls Theatre,32492,800.0,400 Lincoln Ave.,15209,40.48127,-79.97268000000003,Pittsburgh
246,"Loeb Drama Center, American Repertory Theater",2836918,,,02138,42.3803274,-71.13891009999998,Boston / Cambridge
247,Loeb Drama Center,4341245,,,02138,42.38033,-71.13891,Boston / Cambridge
248,Ruth Eckerd Hall,441,2180.0,1111 McMullen Booth Road,33759,27.976029999999998,-82.70469,St Petersburg
249,The Cabooze,2049,1000.0,917 Cedar Ave,55404,44.963409999999996,-93.2469,Twin Cities
250,Cabooze Plaza,1333761,,917 Cedar Ave. S.,55404,44.9633695,-93.24688,Twin Cities
251,The Cabooze,178248,,,,,,Madison
252,Live From Daryl's House,2802178,,,12564,41.56204,-73.60263,Pawling
253,Northern Quest Casino,110230,4000.0,100 N. Hayford Road,99001,47.658409999999996,-117.56262,Spokane
254,Northern Quest Casino - Outdoor Stage,1882293,,,99001,47.6443782,-117.584404,Spokane
255,Northern Quest Casino - Indoor Stage,1882288,,,99001,47.6443782,-117.584404,Spokane
256,Pend Oreille Pavilion - Northern Quest Resort & Casino,2658128,,,99001,47.6443782,-117.584404,Spokane
257,Northern Quest Resort and Casino,4012589,,,99001,47.64438,-117.5844,Spokane
258,Swiftel Center,2813,,824 32nd Avenue,57006,44.31412,-96.75171,Sioux Falls
259,City National Civic,1044,,135 W San Carlos St,95113,37.3306455,-121.8895618,SF Bay Area
260,The Southgate House Revival - The Lounge,2062924,,111 East 6th Street,41071,39.092106,-84.49312900000002,Cincinnati
261,The Southgate House Revival - Revival Room,2027099,,111 East 6th Street,41071,39.09211,-84.49313000000002,Cincinnati
262,The Southgate House Revival - The Sanctuary,2038654,,111 E Sixth Street,41071,39.092106,-84.49312900000002,Cincinnati
263,The Southgate House Revival,2006484,,111 E Sixth Street,41071,39.092106,-84.49312900000002,Cincinnati
264,LE ROCHER DE PALMER,1080416,1200.0,1 RUE ARISTIDE BRIAND,33150,44.8615,-0.52583,Bordeaux
265,ESPACE CULTUREL ANDRE MALRAUX,383881,,Av.de Lattre de Tassigny,83140,43.09391,5.8391800000000025,Toulon
266,RADIANT - BELLEVUE,2080689,,1 Rue Jean Moulin,69300,45.79793,4.842980000000002,Lyon
267,LES ARENES DE METZ,99130,,5 AV LOUIS LE DÉBONNAIRE,57000,49.10869,6.18415,Metz
268,CLUB PICCADILLY UMEDA OSAKA,2828203,,大阪市北区太融寺8-17　プラザ梅田ビル8F,,34.701697700000004,135.5022882,Osaka
269,IF PERFORMANCE HALL ATASEHİR,3477094,,"Barbaros, Ataşehir Blv. No:216",34746,40.9939167,29.110578399999998,Istanbul
270,RADIO CUEBASE FM DE.,2534109,,"Limburger Str. 63 a, Idstein",,50.2264277,8.2649883,Wiesbaden
271,LA SALLE DES FETES,3875674,,39 COURS DE LUZE,33000,44.85705,-0.57891,Bordeaux
272,W/N W/N,2919108,,931 Spring Garden Street,19123,39.961890999999994,-75.154075,Philadelphia
273,CASA GRANDE EVENT CENTER,3714344,,938 Richards rd.,37013,36.0678408,-86.6816575,Nashville
274,FESTIVAL JARDINS DE PEDRALBES,3337054,,"Av. Diagonal, 686",08034,41.386521,2.1184257,Barcelona
275,E & C STUDIO,3849649,,341 Broome Street,10013,40.719429999999996,-73.99472,New York
276,LA GRANGE A DIMES,2758518,,PLACE DE LA MAIRIE,95440,49.018409999999996,2.37885,Paris
277,Китайский летчик Джао Да,2369239,,"Лубянский проезд, 25, стр. 1",101000,55.754909999999995,37.63455,Moscow
278,LA HUACANA NIGHT CLUB,3940839,,1005 E. Pescadero Ave.,95304,37.7620673,-121.4123131,Stockton
279,ARENA DU PAYS D'AIX,3790994,,1955 Rue Nicolas Ledoux,13290,43.47084,5.40297,Aix-en-Provence
280,EL DORADO EVENT CENTER,4104599,,227 New Laredo Hwy.,78211,29.37275,-98.53893000000001,San Antonio
281,CLUB-N (ANTES MAMBOS),3999214,,3652 S VIRGINIA ST.,,39.49061,-119.79305,Reno
282,SALA CÍRCULO DEL ARTE,3867769,,"Plaza San Vicente, 2",45001,39.85948,-4.0252,Toledo
283,EMILIANOS RANCH EVENT CENTER,3702434,,STATE LINE RD,64734,33.7457848,-90.6589505,Cleveland
284,LA SIERRA NIGHT CLUB,3593299,,8632 van nuys blvd,91402,34.22714000000001,-118.44958000000001,Los Angeles
285,MARCY'S BAR & LOUNGE,1963634,,35 S Colville St,99362,46.0672051,-118.3362324,Walla Walla
286,SOCIEDAD ITALIANA DE MORÓN,2757203,,San Martin 451,1708,-34.6026816,-58.3738615,Buenos Aires
287,MACACO CAOLHO IRISH PUB,3808109,,Av. Atlântica 3056 B Copacabana,22070000,-22.975773899999997,-43.18835900000001,Rio de Janeiro
288,LA TABERNA DE PANCHO,3754344,,50 woods lake rd,29607,34.855852,-82.35092309999997,Charlotte
289,NEW ORLEANS CREOLE RESTAURANT,28178,,114 First Avenue South,,47.601172,-122.3340435,Seattle
