,created_at,datetime_local,general_admission,id,popularity,score,short_title,url,listing_count,average_price,median_price,lowest_price,venue_name,venue_popularity,venue_address,venue_city,venue_state,venue_zip,venue_id
1232,2019-07-04T16:09:55,2019-08-11T16:00:00,False,4921673,0.0,0.0,Audio Jane,https://seatgeek.com/audio-jane-tickets/new-haven-connecticut-cafe-nine-2019-08-11-4-pm/concert/4921673,,,,,Cafe Nine,0,250 State Street,New Haven,CT,06510,9460
1233,2019-08-08T16:02:45,2019-08-11T18:00:00,True,4955357,0.0,0.0,Blacktop Mojo,https://seatgeek.com/blacktop-mojo-tickets/stratford-connecticut-woodbury-brewing-company-2019-08-11-6-pm/concert/4955357,,,,,Woodbury Brewing Company,0,738 Main Street South,Stratford,CT,06798,75842
1234,2018-11-09T20:55:14,2019-08-11T19:00:00,False,4629451,0.693,0.655,Train with Goo Goo Dolls,https://seatgeek.com/train-with-goo-goo-dolls-tickets/uncasville-connecticut-mohegan-sun-arena-2019-08-11-7-pm/concert/4629451,53.0,151.0,127.0,63.0,Mohegan Sun Arena,0,1 Mohegan Sun Blvd,Uncasville,CT,06382,92
1235,2019-05-22T16:04:15,2019-08-11T20:00:00,True,4871467,0.0,0.0,Tessa Violet,https://seatgeek.com/tessa-violet-tickets/hamden-connecticut-space-ballroom-2019-08-11-8-pm/concert/4871467,1.0,90.0,90.0,90.0,Space Ballroom,0,295 Treadwell Street,Hamden,CT,06514,145802
1236,2019-07-03T16:13:44,2019-08-12T20:00:00,False,4914733,0.0,0.0,Gentleman Brawlers,https://seatgeek.com/gentleman-brawlers-tickets/new-haven-connecticut-cafe-nine-2019-08-12-8-pm/concert/4914733,,,,,Cafe Nine,0,250 State Street,New Haven,CT,06510,9460
1237,2019-04-23T16:05:40,2019-08-12T20:00:00,False,4834616,0.565,0.455,Dawes,https://seatgeek.com/dawes-tickets/ridgefield-connecticut-ridgefield-playhouse-2019-08-12-8-pm/concert/4834616,,,,,Ridgefield Playhouse,0,80 East Ridge Road,Ridgefield,CT,06877,957
1238,2019-04-23T16:03:41,2019-08-13T20:00:00,False,4834364,0.0,0.0,The Queers,https://seatgeek.com/the-queers-tickets/hamden-connecticut-the-space-2-2019-08-13-8-pm/concert/4834364,2.0,46.0,45.0,45.0,The Space,0,295 Treadwell Street,Hamden,CT,06514,44094
1239,2019-07-28T16:05:45,2019-08-13T21:00:00,True,4941614,0.0,0.0,I Love Tuesdays feat,https://seatgeek.com/i-love-tuesdays-feat-tickets/mashantucket-connecticut-shrine-nightclub-2019-08-13-9-pm/concert/4941614,,,,,Shrine Nightclub,0,240 Fox Tower Drive,Mashantucket,CT,06338,160084
1240,2019-04-17T16:05:47,2019-08-14T19:45:00,True,4821764,0.0,0.0,Donavon Frankenreiter,https://seatgeek.com/donavon-frankenreiter-tickets/fairfield-connecticut-fairfield-theatre-company-2019-08-14-7-45-pm/concert/4821764,4.0,167.0,153.0,147.0,Fairfield Theatre Company,0,70 Sanford Street,Fairfield,CT,06824,1418
1241,2019-01-22T16:04:01,2019-08-14T20:00:00,False,4700239,0.412,0.284,Tab Benoit,https://seatgeek.com/tab-benoit-tickets/norfolk-connecticut-infinity-hall-2019-08-14-8-pm/concert/4700239,21.0,162.0,117.0,98.0,Infinity Hall,0,20 Greenwoods Road West,Norfolk,CT,06058,841
1242,2019-02-16T16:12:03,2019-08-14T20:00:00,False,4750364,0.473,0.356,Janis Ian with Livingston Taylor,https://seatgeek.com/janis-ian-with-livingston-taylor-tickets/ridgefield-connecticut-ridgefield-playhouse-2019-08-14-8-pm/concert/4750364,5.0,153.0,147.0,117.0,Ridgefield Playhouse,0,80 East Ridge Road,Ridgefield,CT,06877,957
1243,2019-07-07T16:01:10,2019-08-14T20:30:00,False,4923161,0.0,0.0,Crunk Witch with Alethea,https://seatgeek.com/crunk-witch-with-alethea-tickets/new-haven-connecticut-cafe-nine-2019-08-14-8-30-pm/concert/4923161,,,,,Cafe Nine,0,250 State Street,New Haven,CT,06510,9460
1244,2019-06-09T16:01:50,2019-08-14T21:00:00,True,4890261,0.0,0.0,The Obsessed,https://seatgeek.com/the-obsessed-tickets/new-haven-connecticut-the-state-house-2019-08-14-9-pm/concert/4890261,,,,,The State House,0,310 State Street,New Haven,CT,06510,452203
1245,2019-06-15T16:02:27,2019-08-15T19:30:00,False,4895298,0.0,0.0,Common,https://seatgeek.com/common-tickets/mashantucket-connecticut-fox-theater-at-foxwoods-resort-casino-4-2019-08-15-7-30-pm/concert/4895298,31.0,119.0,109.0,91.0,Fox Theater at Foxwoods Resort & Casino,0,601 Eddy St.,Mashantucket,CT,06365,422357
1246,2019-06-25T16:03:21,2019-08-15T20:00:00,False,4906541,0.503,0.38,Walter Trout,https://seatgeek.com/walter-trout-tickets/norfolk-connecticut-infinity-hall-2019-08-15-8-pm/concert/4906541,4.0,97.0,89.0,86.0,Infinity Hall,0,20 Greenwoods Road West,Norfolk,CT,06058,841
1247,2019-01-19T16:11:01,2019-08-15T20:00:00,False,4697744,0.652,0.599,Dierks Bentley with Jon Pardi,https://seatgeek.com/dierks-bentley-with-jon-pardi-tickets/hartford-connecticut-xfinity-theatre-2019-08-15-8-pm/concert/4697744,249.0,118.0,108.0,23.0,Xfinity Theatre,0,61 Savitt Way,Hartford,CT,06120,3700
1248,2019-05-30T16:10:44,2019-08-16T19:00:00,False,4878798,0.463,0.415,Harms Way,https://seatgeek.com/harms-way-tickets/hartford-connecticut-webster-theater-2019-08-16-7-pm/concert/4878798,5.0,141.0,151.0,40.0,Webster Theater,0,31 Webster Street,Hartford,CT,06114,628
1249,2019-06-06T16:03:58,2019-08-16T20:00:00,False,4887406,0.0,0.0,The Rolling Stones Show,https://seatgeek.com/the-rolling-stones-show-tickets/norwalk-connecticut-wall-street-theater-2019-08-16-8-pm/concert/4887406,,,,,Wall Street Theater,0,71 Wall Street,Norwalk,CT,06850,143642
